
"(PDH-CSV 4.0)","\\CLP500-123\LogicalDisk(C:)\% de espa‡o livre","\\CLP500-123\Mem¢ria\% bytes confirmados em uso","\\CLP500-123\Processador(_Total)\% tempo de processador"
"10/05/2021 07:00:02.868","66.601171","7.334516","0.939499"
"10/05/2021 07:00:03.868","66.601171","7.334611","1.719508"
"10/05/2021 07:00:04.868","66.601171","7.334706","0.939509"
"10/05/2021 07:00:05.868","66.601171","7.322616","2.109507"
"10/05/2021 07:00:06.868","66.601171","7.322497","0.549499"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
