
"(PDH-CSV 4.0)","\\PIINT_144_DR\LogicalDisk(C:)\% de espa‡o livre","\\PIINT_144_DR\LogicalDisk(D:)\% de espa‡o livre","\\PIINT_144_DR\Mem¢ria\% bytes confirmados em uso","\\PIINT_144_DR\Processador(_Total)\% tempo de processador"
"10/26/2021 07:00:01.557","69.623296","99.707171","10.587028","0.000000"
"10/26/2021 07:00:02.571","69.623296","99.707171","10.598096","0.000000"
"10/26/2021 07:00:03.585","69.623296","99.707171","10.598159","0.000000"
"10/26/2021 07:00:04.599","69.623296","99.707171","10.598159","0.000000"
"10/26/2021 07:00:05.613","69.623296","99.707171","10.584548","0.768756"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
