
"(PDH-CSV 4.0)","\\USER-PC\LogicalDisk(C:)\% de espa‡o livre","\\USER-PC\LogicalDisk(D:)\% de espa‡o livre","\\USER-PC\Mem¢ria\% bytes confirmados em uso","\\USER-PC\Processador(_Total)\% tempo de processador"
"10/26/2021 15:07:01.625","96.420123","99.970802","17.690111","4.355505"
"10/26/2021 15:07:02.626","96.420123","99.970802","17.693247","6.303456"
"10/26/2021 15:07:03.627","96.420123","99.970802","17.693527","7.667034"
"10/26/2021 15:07:04.628","96.420123","99.970802","17.694087","4.550299"
"10/26/2021 15:07:05.629","96.420123","99.970802","17.694311","5.913867"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
