
"(PDH-CSV 4.0)","\\CLP500_SMF\LogicalDisk(C:)\% de espa‡o livre","\\CLP500_SMF\LogicalDisk(D:)\% de espa‡o livre","\\CLP500_SMF\Mem¢ria\% bytes confirmados em uso","\\CLP500_SMF\Processador(_Total)\% tempo de processador"
"10/26/2021 07:00:01.521","73.080494","99.777924","12.383611","1.719508"
"10/26/2021 07:00:02.521","73.080494","99.777924","12.383484","4.059524"
"10/26/2021 07:00:03.521","73.080494","99.777924","12.383802","2.499507"
"10/26/2021 07:00:04.521","73.080494","99.777924","12.384120","3.279515"
"10/26/2021 07:00:05.521","73.080494","99.777924","12.377696","1.719508"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
