
"(PDH-CSV 4.0)","\\CLP_126-PC\LogicalDisk(C:)\% Free Space","\\CLP_126-PC\Memory\% Committed Bytes in Use","\\CLP_126-PC\Processor(_Total)\% Processor Time"
"09/28/2021 07:00:01.297","67.626111","11.823138","10.299556"
"09/28/2021 07:00:02.297","67.626111","11.823138","5.619522"
"09/28/2021 07:00:03.297","67.626111","11.823329","4.839523"
"09/28/2021 07:00:04.297","67.626111","11.823329","4.059524"
"09/28/2021 07:00:05.297","67.626111","11.821230","3.279515"
Exiting, please wait...                         
The command completed successfully.
