
"(PDH-CSV 4.0)","\\CLP500_127\LogicalDisk(C:)\% de espa‡o livre","\\CLP500_127\LogicalDisk(D:)\% de espa‡o livre","\\CLP500_127\Mem¢ria\% bytes confirmados em uso","\\CLP500_127\Processador(_Total)\% tempo de processador"
"10/26/2021 07:00:02.239","94.009915","99.963517","20.142208","2.113363"
"10/26/2021 07:00:03.239","94.009915","99.963517","20.142376","0.000000"
"10/26/2021 07:00:04.239","94.009915","99.963517","20.142376","0.159500"
"10/26/2021 07:00:05.239","94.009915","99.963517","20.132353","0.159500"
"10/26/2021 07:00:06.239","94.009915","99.963517","20.132353","1.134498"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
