
"(PDH-CSV 4.0)","\\CLP500_126\LogicalDisk(C:)\% de espa‡o livre","\\CLP500_126\Mem¢ria\% bytes confirmados em uso","\\CLP500_126\Processador(_Total)\% tempo de processador"
"10/26/2021 07:00:02.586","63.078096","8.506169","0.000000"
"10/26/2021 07:00:03.600","63.078096","8.503523","0.000000"
"10/26/2021 07:00:04.614","63.078096","8.507076","0.000000"
"10/26/2021 07:00:05.628","63.078096","8.491290","0.768766"
"10/26/2021 07:00:06.642","63.078096","8.488285","0.384161"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
