
"(PDH-CSV 4.0)","\\UCA\LogicalDisk(C:)\% de espa‡o livre","\\UCA\LogicalDisk(D:)\% de espa‡o livre","\\UCA\Mem¢ria\% bytes confirmados em uso","\\UCA\Processador(_Total)\% tempo de processador"
"10/05/2021 07:00:02.282","97.510725","99.409941","15.395932","6.007770"
"10/05/2021 07:00:03.282","97.510725","99.409941","15.395991","0.000000"
"10/05/2021 07:00:04.283","97.510725","99.409941","15.395932","5.913868"
"10/05/2021 07:00:05.284","97.510725","99.409941","15.380296","0.000000"
"10/05/2021 07:00:06.300","97.510725","99.409941","15.379763","7.686775"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
