
"(PDH-CSV 4.0)","\\CLP-LJ-DR\LogicalDisk(C:)\% de espa‡o livre","\\CLP-LJ-DR\LogicalDisk(D:)\% de espa‡o livre","\\CLP-LJ-DR\Mem¢ria\% bytes confirmados em uso","\\CLP-LJ-DR\Processador(_Total)\% tempo de processador"
"10/26/2021 07:00:02.512","50.941961","99.673322","60.139995","13.419571"
"10/26/2021 07:00:03.512","50.941961","99.673322","60.140568","18.099585"
"10/26/2021 07:00:04.512","50.941961","99.673322","60.140568","11.079554"
"10/26/2021 07:00:05.512","50.941961","99.673322","60.127910","22.779618"
"10/26/2021 07:00:06.512","50.941961","99.673322","60.127974","18.879594"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
