
"(PDH-CSV 4.0)","\\CLP500_RESERVA\LogicalDisk(C:)\% de espa‡o livre","\\CLP500_RESERVA\LogicalDisk(D:)\% de espa‡o livre","\\CLP500_RESERVA\Mem¢ria\% bytes confirmados em uso","\\CLP500_RESERVA\Processador(_Total)\% tempo de processador"
"10/29/2021 07:00:02.211","93.509536","99.973372","18.357197","3.279515"
"10/29/2021 07:00:03.211","93.509536","99.973372","18.357643","0.000000"
"10/29/2021 07:00:04.211","93.509536","99.973372","18.357643","1.329498"
"10/29/2021 07:00:05.211","93.509536","99.973372","18.358032","0.000000"
"10/29/2021 07:00:06.211","93.509536","99.973372","18.357643","1.134508"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
