
"(PDH-CSV 4.0)","\\CLP_126\LogicalDisk(C:)\% Free Space","\\CLP_126\Memory\% Committed Bytes in Use","\\CLP_126\Processor(_Total)\% Processor Time"
"10/29/2021 07:00:02.251","58.019434","10.860628","4.839523"
"10/29/2021 07:00:03.251","58.019434","10.860628","1.719508"
"10/29/2021 07:00:04.252","58.019434","10.860628","3.279515"
"10/29/2021 07:00:05.252","58.019434","10.856621","0.939509"
"10/29/2021 07:00:06.262","58.019434","10.856176","5.009419"
Exiting, please wait...                         
The command completed successfully.
