
"(PDH-CSV 4.0)","\\UC2\LogicalDisk(C:)\% de espa‡o livre","\\UC2\LogicalDisk(D:)\% de espa‡o livre","\\UC2\Mem¢ria\% bytes confirmados em uso","\\UC2\Processador(_Total)\% tempo de processador"
"10/29/2021 07:00:01.202","93.407868","99.568847","7.897267","6.250000"
"10/29/2021 07:00:02.202","93.407868","99.568847","7.897188","7.812500"
"10/29/2021 07:00:03.202","93.407868","99.568847","7.897188","8.593750"
"10/29/2021 07:00:04.202","93.407868","99.568847","7.897188","8.593750"
"10/29/2021 07:00:05.202","93.407868","99.568847","7.897426","8.593750"
Saindo. Aguarde...                        
O comando foi conclu¡do com ˆxito.
