
"(PDH-CSV 4.0)","\\PIINTCOG03\LogicalDisk(C:)\% de espa‡o livre","\\PIINTCOG03\LogicalDisk(D:)\% de espa‡o livre","\\PIINTCOG03\Mem¢ria\% bytes confirmados em uso","\\PIINTCOG03\Processador(_Total)\% tempo de processador"
"10/29/2021 07:00:03.541","18.725955","88.525749","23.571254","49.999766"
"10/29/2021 07:00:04.571","18.725955","88.525749","23.571254","49.999772"
"10/29/2021 07:00:05.709","18.725955","88.525749","23.563176","54.109371"
"10/29/2021 07:00:06.786","18.725955","88.525749","23.563176","50.724404"
"10/29/2021 07:00:07.815","18.725955","88.525749","23.560504","50.757351"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
