
"(PDH-CSV 4.0)","\\CLP_OSI\LogicalDisk(C:)\% de espa‡o livre","\\CLP_OSI\LogicalDisk(D:)\% de espa‡o livre","\\CLP_OSI\Mem¢ria\% bytes confirmados em uso","\\CLP_OSI\Processador(_Total)\% tempo de processador"
"10/29/2021 07:00:01.150","12.466213","98.634013","15.513270","32.031250"
"10/29/2021 07:00:02.165","12.466213","98.634013","15.513270","26.153846"
"10/29/2021 07:00:03.165","12.466213","98.634013","15.513270","25.000000"
"10/29/2021 07:00:04.165","12.466213","98.634013","15.513743","24.218750"
"10/29/2021 07:00:05.165","12.466213","98.634013","15.513743","25.000000"
Saindo. Aguarde...                        
O comando foi conclu¡do com ˆxito.
