
"(PDH-CSV 4.0)","\\FE03\LogicalDisk(C:)\% Free Space","\\FE03\Memory\% Committed Bytes in Use","\\FE03\Processor(_Total)\% Processor Time"
"10/26/2021 07:00:01.645","98.985191","6.045906","0.248979"
"10/26/2021 07:00:02.648","98.985191","6.045906","0.248979"
"10/26/2021 07:00:03.650","98.985191","6.045706","0.248979"
"10/26/2021 07:00:04.653","98.985191","6.045706","1.028283"
"10/26/2021 07:00:05.655","98.985191","6.045706","0.248979"
Saindo. Aguarde...                        
O comando foi conclu¡do com ˆxito.
