
"(PDH-CSV 4.0)","\\CLP500-124\LogicalDisk(C:)\% de espa‡o livre","\\CLP500-124\LogicalDisk(D:)\% de espa‡o livre","\\CLP500-124\Mem¢ria\% bytes confirmados em uso","\\CLP500-124\Processador(_Total)\% tempo de processador"
"10/05/2021 07:00:02.752","47.727680","99.548411","11.674098","5.619532"
"10/05/2021 07:00:03.752","47.727680","99.548411","11.673216","2.499507"
"10/05/2021 07:00:04.752","47.727680","99.548411","11.672334","5.619532"
"10/05/2021 07:00:05.752","47.727680","99.548411","11.658288","4.059514"
"10/05/2021 07:00:06.752","47.727680","99.548411","11.657358","4.839523"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
