
"(PDH-CSV 4.0)","\\UC1\LogicalDisk(C:)\% de espa‡o livre","\\UC1\LogicalDisk(D:)\% de espa‡o livre","\\UC1\Mem¢ria\% bytes confirmados em uso","\\UC1\Processador(_Total)\% tempo de processador"
"10/28/2021 17:10:01.239","94.923398","99.706426","5.341642","3.906250"
"10/28/2021 17:10:02.239","94.923398","99.706426","5.341880","2.343750"
"10/28/2021 17:10:03.239","94.923398","99.706426","5.341404","0.781250"
"10/28/2021 17:10:04.239","94.923398","99.706426","5.341404","0.000000"
"10/28/2021 17:10:05.239","94.923398","99.706426","5.341404","2.343750"
Saindo. Aguarde...                        
O comando foi conclu¡do com ˆxito.
