
"(PDH-CSV 4.0)","\\RBR2704L-5841\LogicalDisk(C:)\% Free Space","\\RBR2704L-5841\LogicalDisk(D:)\% Free Space","\\RBR2704L-5841\Memory\% Committed Bytes in Use","\\RBR2704L-5841\Processor(_Total)\% Processor Time"
"10/26/2021 07:00:02.234","73.537394","86.602650","38.057605","3.461089"
"10/26/2021 07:00:03.248","73.537394","86.602650","38.058469","0.000000"
"10/26/2021 07:00:04.262","73.537394","86.602650","38.034413","0.384141"
"10/26/2021 07:00:05.276","73.537394","86.602650","38.001713","4.614942"
"10/26/2021 07:00:06.290","73.537394","86.602650","38.001521","0.000000"
Exiting, please wait...                         
The command completed successfully.
