
"(PDH-CSV 4.0)","\\WDOG\LogicalDisk(C:)\% de espa‡o livre","\\WDOG\Mem¢ria\% bytes confirmados em uso","\\WDOG\Processador(_Total)\% tempo de processador"
"10/29/2021 07:00:01.351","90.348279","15.318466","0.775194"
"10/29/2021 07:00:02.351","90.348279","15.318721","0.000000"
"10/29/2021 07:00:03.351","90.348279","15.318976","0.000000"
"10/29/2021 07:00:04.351","90.348279","15.319231","0.000000"
"10/29/2021 07:00:05.351","90.348279","15.310175","0.000000"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
