
"(PDH-CSV 4.0)","\\FE01SC\LogicalDisk(C:)\% Free Space","\\FE01SC\Memory\% Committed Bytes in Use","\\FE01SC\Processor(_Total)\% Processor Time"
"10/29/2021 07:00:01.758","98.654749","5.910213","0.248979"
"10/29/2021 07:00:02.760","98.654749","5.910213","1.028283"
"10/29/2021 07:00:03.763","98.654749","5.910213","1.807588"
"10/29/2021 07:00:04.765","98.654749","5.910213","0.248979"
"10/29/2021 07:00:05.768","98.654749","5.910213","0.248979"
Saindo. Aguarde...                        
O comando foi conclu¡do com ˆxito.
