
"(PDH-CSV 4.0)","\\FE3-0\LogicalDisk(C:)\% de espa‡o livre","\\FE3-0\LogicalDisk(D:)\% de espa‡o livre","\\FE3-0\Mem¢ria\% bytes confirmados em uso","\\FE3-0\Processador(_Total)\% tempo de processador"
"10/26/2021 07:00:02.306","83.927188","99.639988","13.785021","33.699663"
"10/26/2021 07:00:03.316","83.927188","99.639988","13.781904","36.672949"
"10/26/2021 07:00:04.326","83.927188","99.639988","13.781395","32.039263"
"10/26/2021 07:00:05.346","83.927188","99.639988","13.762886","30.411419"
"10/26/2021 07:00:06.346","83.927188","99.639988","13.762886","33.699663"
Saindo, aguarde...                         
O comando foi conclu¡do com ˆxito.
